,id,rec,loc,gen,sp,lat,lng,alt,type,q,length,bird-seen,file,en
0,705357,Olivier Hamerlynck,"Lopes, Matutuíne District, Maputo Province",Caprimulgus,pectoralis,-26.8025,32.8737,20,song,B,0:31,no,https://xeno-canto.org/705357/download,Fiery-necked Nightjar
1,761330,Antonio Xeira,"Ponta do Ouro, Matutuíne",Tauraco,porphyreolophus,-26.8452,32.8925,0,call,B,0:29,yes,https://xeno-canto.org/761330/download,Purple-crested Turaco
2,448614,Antonio Xeira,Inhaca island,Chrysococcyx,klaas,-26.023,32.907,50,song,B,1:49,yes,https://xeno-canto.org/448614/download,Klaas's Cuckoo
3,445134,Antonio Xeira,Inhaca island,Streptopelia,capicola,-26.023,32.907,50,song,A,0:12,no,https://xeno-canto.org/445134/download,Ring-necked Dove
4,104019,Bram Piot,Inhaca island,Treron,calvus,-26.0228,32.907,20,call,B,0:15,yes,https://xeno-canto.org/104019/download,African Green Pigeon
5,701253,Antonio Xeira,Inhaca island,Burhinus,vermiculatus,-26.023,32.907,50,alarm call,B,0:07,yes,https://xeno-canto.org/701253/download,Water Thick-knee
6,59742,Bram Piot,Inhaca island,Bostrychia,hagedash,-26.023,32.907,5,flight call,B,0:17,yes,https://xeno-canto.org/59742/download,Hadada Ibis
7,59739,Bram Piot,Inhaca island,Ardea,cinerea,-26.023,32.907,5,call,B,0:06,yes,https://xeno-canto.org/59739/download,Grey Heron
8,59751,Bram Piot,Inhaca island,Upupa,africana,-26.023,32.907,10,song,B,0:26,yes,https://xeno-canto.org/59751/download,African Hoopoe
9,201464,Niall Perrins,"Matutuíne District, Maputo",Merops,superciliosus,-26.2374,32.8682,0,"call, flight call",B,1:12,yes,https://xeno-canto.org/201464/download,Olive Bee-eater
10,201484,Niall Perrins,"Matutuíne District, Maputo",Smithornis,capensis,-26.2121,32.9387,40,flight call,B,1:36,yes,https://xeno-canto.org/201484/download,African Broadbill
11,201450,Niall Perrins,"Matutuíne District, Maputo",Batis,fratrum,-26.1856,32.8951,30,call,B,0:40,yes,https://xeno-canto.org/201450/download,Woodward's Batis
12,104063,Bram Piot,Inhaca island,Batis,molitor,-26.0228,32.907,20,song,B,0:16,unknown,https://xeno-canto.org/104063/download,Chinspot Batis
13,104062,Bram Piot,Inhaca island,Batis,molitor,-26.0228,32.907,20,call,B,0:27,unknown,https://xeno-canto.org/104062/download,Chinspot Batis
14,104021,Bram Piot,Inhaca island,Chlorophoneus,olivaceus,-26.023,32.907,20,alarm call,A,0:09,unknown,https://xeno-canto.org/104021/download,Olive Bushshrike
15,59750,Bram Piot,Inhaca island,Telophorus,viridis,-26.023,32.907,10,song,B,0:26,unknown,https://xeno-canto.org/59750/download,Gorgeous Bushshrike
16,59745,Bram Piot,Inhaca island,Dryoscopus,cubla,-26.023,32.907,10,call,B,0:13,yes,https://xeno-canto.org/59745/download,Black-backed Puffback
